Norms,Norms Code,Standard Units,Standard Qtd,Skilled Manpower,Unskilled Manpower
Brick Work. Supplying preparing and construction of chimney made brick work of approved quality with 1:3 cement sand mortar ratio with 30 m lead,CBW13,CUM,1,1.5,2.2
Brick Work. Supplying preparing and construction of chimney made brick work of approved quality with 1:4 cement sand mortar ratio with 30 m lead,CBW14,CUM,1,1.5,2.2
"1:4:8 PCC works(foundation,wall boundary concreting work material supply and upto 30m lead)",PCCWM7,CUM,1,1,4
"1:3:6 PCC Works, M10 Grade Concrete Manual Mixing(foundation,wall,boundary concreting work supply and installtion upto 30m lead)",PCCWM10,CUM,1,1,4
"1:2:4 PCC Works, M15 Grade Concrete mixed manually(foundation,wall,boundary material supply and installtion upto30m lead)",PCCM15,CUM,1,1,4
"1:1.5:3 Concrete, M20 Grade, Mixed Manually(deck slab,beam,super structure material supply and installation upto 30m lead)",RCCWM20,CUM,1,0.8,7
"1:1:2 RCC Work, M25 grade concrete, Mixed Manually(deck slab,beam, superstructure supply and installation upto 30m lead)",RCCWM25,CUM,1,0.8,7
"1:1.5:3 RCC Works, M20 Grade Concrete using machine",RCCM20,CUM,1,0.5,3.5
"1:1:2 Ratio Concrete, M25 Grade Concrete, Mixing By mixer",RCCM25,CUM,1,0.5,3.5
"Cutting, bending, placing, and binding reinforcement bars with a lead of 30m.",RE001,MT,1,12,12
1:1:2 (M25) concrete in superstructure using micro silica and plasticizer with 30 m lead,RCCPM25,CUM,1,0.5,3.5
preparing and supplying material for casting super structure using Ready mix and also transportation,RMC001,CUM,1,0.5,3.5
38 mm thick screeding floor finish of 1:2:4 concrete,FW001,SM,1,1.25,2
50 mm thick screeding floor finish of 1:2:4 ratio concrete,FW002,SM,1,1.25,2.5
75 mm screeding flooring finish with 1:2:4 concrete ,FW003,SM,10,1.25,3
3 mm thick cement punning floor finish above screeding ,FE004,SM,100,10,10
Porcelain glazed tile works in 1:4 cement sand mortar ,FW004,SM,10,13,4.5
Vitrified tile works in 1:4 cement sand mortar ,FW005,SM,10,13,4.5
"12.5 mm Plaster works on all kinds of vertical surfaces,  1:2 Cement Sand ratio",PW12,SM,1,12,16
"12.5 mm Plaster works on all kinds of vertical surfaces,  1:3 Cement Sand ratio",PW13,SM,100,12,16
"12.5 mm Plaster works on all kinds of vertical surfaces,  1:4 Cement Sand ratio",PW14,SM,100,12,16
"12.5 mm Plaster works on all kinds of vertical surfaces,  1:6 Cement Sand ratio",PW16,SM,100,12,16
"20 mm Plaster works on all kinds of vertical surfaces,  1:3 Cement Sand ratio",PW2013,SM,100,14,19
"20 mm Plaster works on all kinds of vertical surfaces,  1:4 Cement Sand ratio",PW2014,SM,100,14,19
"20 mm Plaster works on all kinds of vertical surfaces,  1:6 Cement Sand ratio",PW2016,SM,100,14,19
"20 mm Plaster Patti, Rain Beat, or Jhalar above plaster",PW006,M,1,0.025,0.01
Manual Excavation of Soft Soil lift up to 1.5 m and dispose up to 10m,EW001,CUM,1,0,0.7
Manual Excavation of hard Soil and soft rock lift up to 1.5 m and disposal of up to 10m,EW002,CUM,1,0,0.8
Manual Excavation/ cutting of medium type of rock lift up to 1.5 m and disposal of up to 10m without the use of Explosives.,EW003,CUM,1,0,3
Manual Excavation/cutting of hard rock lift up to 1.5 m and disposal of up to 10m without the use of Explosives and chisel.,EW004,CUM,1,0,5
Manual Excavation/cutting of hard rock lift up to 1.5 m and disposal of up to 10m using a chisel hammer but without the use of Explosives.,EW005,CUM,1,0,24.2
"Manual filling, spreading, watering, and compacting of soil in 15 cm layers with a lead of 10 m",EW006,CUM,1,0,0.5
"Manual filling, spreading, watering, and compacting of sand in 15 cm layers with a lead of 10 m",EW007,CUM,1,0,0.7
